City,Area,Pop 1980,Pop 1990,Pop 2000,Growth,Food
Buenos Aires,700,9918,11448,12822,1.399999976,40
Dhaka,100,3290,6578,11511,7.199999809,63
Rio de Janeiro,650,8789,10948,12162,2.200000048,26
Sao Paolo,800,12101,18119,22552,4.099999905,50
Beijing,1680,9029,10867,14366,1.899999976,52
Shanghai,630,11739,13447,17407,1.399999976,55
Tianjin,400,7268,9249,12508,2.400000095,52
Cairo,21.39999962,6852,8633,10761,2.299999952,47
Bombay,60,8067,12223,18142,4.199999809,57
Calcutta,130,9030,10741,12675,1.799999952,60
Delhi,59.09999847,5559,8171,11692,3.900000095,40
Jakarta,59,5985,9206,13380,4.400000095,45
Osaka,200,9990,10482,10601,0.5,18
Tokyo,216,21854,25013,27956,1.399999976,18
Seoul,165,8283,10979,12949,2.900000095,34
Mexico City,250,13888,15085,16190,0.800000012,41
Lagos,40,4385,7742,13480,5.800000191,58
Karachi,353,5023,7943,11895,4.699999809,43
Manila,64,5966,8882,12582,4.099999905,38
Los Angeles,1660,9523,11456,13151,1.899999976,12
New York,359,15601,16056,16645,0.300000012,16
